"","q_code","age","sex","occ_status","income","education","fam_w_jeep","w_driver_rel","attitude","opinion","cluster"
"455",520,69,0,2,1,11,0,0,"3","3",3
"456",521,57,1,2,1,4,0,0,"1","1",1
"457",522,41,1,1,-98,11,1,0,"2","1",2
"458",523,48,1,2,1,6,1,0,"3","4",3
"459",524,32,0,1,4,11,1,0,"2","1",2
"460",525,24,1,1,-98,11,1,0,"3","1",3
"461",527,60,0,3,-99,10,1,0,"1","1",1
"462",528,53,1,1,2,11,1,1,"3","5",3
"463",529,62,1,3,-99,11,1,1,"1","3",1
"464",530,56,1,3,-99,10,1,1,"3","5",3
"465",531,26,0,3,-99,8,1,0,"2","4",2
"466",532,35,0,1,4,11,1,0,"1","4",1
"467",533,49,1,1,1,8,1,0,"3","3",3
"468",534,27,1,2,2,6,0,0,"2","4",2
"469",535,22,1,5,1,10,1,0,"2","4",2
"470",536,19,1,4,-99,5,0,0,"1","1",1
"471",537,58,0,3,-99,8,1,0,"3","2",3
"472",538,22,0,3,-99,11,1,0,"1","4",1
"473",539,34,1,1,2,10,0,1,"1","1",1
"474",540,49,0,2,1,6,1,0,"3","1",3
"475",541,21,1,4,-99,6,1,0,"1","5",1
"476",542,33,1,2,2,8,1,0,"2","1",2
"477",543,51,0,2,2,11,1,1,"2","1",2
"478",545,86,0,3,-99,4,0,0,"1","1",1
"479",546,58,0,2,3,10,1,0,"2","1",2
"480",547,31,1,3,-99,7,1,0,"3","3",3
"481",548,31,0,1,3,12,1,1,"2","4",2
"482",549,61,0,2,4,9,1,0,"3","5",3
"483",550,53,0,3,-99,11,1,1,"1","2",1
"484",551,23,1,4,-99,10,1,1,"3","1",3
"485",553,18,0,4,-99,7,1,0,"2","2",2
"486",554,53,0,2,1,5,1,1,"3","3",3
"487",555,63,1,3,-99,5,1,0,"1","5",1
